MnuNo,MenuOpt,MnuName,MnuCap,MnuPgm,ExeName,MnuWght,AllowWhenTrnClosed,pgmopt,DbInfo,MenuIcon,Menusep,MenuBold,MultiInstance,SourceFile
410,425,Sales,Item-wise Sales Returns,P,SR214100.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,426,Sales,Salesperson Summary,P,SR221600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,427,Sales,Node-wise Details,P,SR231900.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,431,Stock,Balance,P,SR202500.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,432,Stock,Movement,P,SR203000.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,433,Stock,Analysis,P,SR202700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,434,Stock,Statement,P,SR202900.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,435,Stock,Balance - Style / Model wise,P,SR210300.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,436,Stock,Discrepancy,P,SR211600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,437,Stock,Transaction Ledger,P,SR213800.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,438,Stock,Attribute + Size wise,P,SR236300.Exe,0,1,3,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,439,Stock,Balance as on Date,P,SR217900.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,441,Stock,Aging,P,SR233600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,442,Stock,Inward Discrepancy,P,SR233700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
430,443,Stock,Tax Register,P,SR238000.Exe,0,0,1,0,,0,0,0,ZIP:SH9_015_EE_0_01.S9Q
430,444,Stock,Void Transactions,P,SR239800.Exe,0,0,0,,,0,0,0,ZIP:SH9_017_EE_0_01.S9Q
430,445,Stock,Stock Availability,P,SR241700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_019_EE_0_01.S9Q
430,446,Stock,Physical Verification Status,P,SR241600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_019_EE_0_01.S9Q
450,451,Stock Registers,Transaction-wise Goods Register,P,SR202800.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
450,452,Stock Registers,Item-wise Goods Register,P,SR212600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
450,453,Stock Registers,Audit Trail - Size-wise,P,SR217700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_019_EE_0_01.S9Q
460,461,Cash,Cash Transaction,P,SR203100.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,462,Cash,Submission / Realisation List,P,SR203300.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,463,Cash,Pending Submissions / Realisations,P,SR203200.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,464,Cash,Counter-wise Details,P,SR210600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,465,Cash,Credit Note Status,P,SR212700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,466,Cash,Counter Summary across Cashiers,P,SR212900.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,467,Cash,Advance Receipt Status,P,SR234400.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
460,469,Cash,Reconciliation Report,P,SR239600.EXE,0,1,1,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
460,470,Cash,Till Status Report,P,SR239600.EXE,0,1,2,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
460,471,Till Management,Till Activity Log,P,SR240400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_017_EE_1_01.S9Q
460,4702,Credit Sale Management,Credit Sale,P,SR242900.EXE,0,1,0,0,,0,0,0,ZIP:SH9_019_EE_1_01.S9Q
470,471,MIS,Monthly Sales Comparison,P,SR203700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,472,MIS,Rate Variation,P,SR203800.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,473,MIS,Sales Analysis,P,SR203900.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,474,MIS,Attribute-wise Sales and Stock,P,SR236300.Exe,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,475,MIS,Pending Transactions,P,SR215600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,476,MIS,Walk-in Details,P,SR222800.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,477,MIS,Superclass-wise Sales / Stock,P,SR216000.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,478,MIS,Stock across Chain,P,SE201000.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,479,MIS,Transaction Details with Image,P,SR233000.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,480,MIS,Gross Margin,P,SR229700.exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,481,MIS,Bill Re-Print,P,SR233500.exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,482,MIS,Sales Promotions,P,SR234900.exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,483,MIS,Salesperson-wise Discount,P,SR238400.EXE,0,0,1,0,,0,0,0,ZIP:SH9_015_EE_0_01.S9Q
470,490,MIS,Customer Offtake,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
470,491,MIS,Excise Report,P,SR240000.EXE,0,0,0,0,,0,0,0,ZIP:SH9_0161_EE_0_01.S9Q
470,492,MIS,Incentive Analysis,P,SR244700.EXE,0,1,1,0,,0,0,0,ZIP:SH9_020_EE_0_02.S9Q
490,491,Customer Offtake,Period-wise,P,SR208500.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
490,492,Customer Offtake,Bill-wise,P,SR208400.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
490,493,Customer Offtake,Product-wise,P,SR208600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,501,Housekeeping,OPEN Day,P,SR322600.Exe,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,502,Housekeeping,CLOSE Day,P,SR309900.EXE,0,0,2,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,503,Housekeeping,Backup,P,SR309000.EXE,0,1,2,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,504,Housekeeping,Restore,P,SR309000.EXE,0,1,3,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,505,Housekeeping,Compact,P,SR309000.EXE,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,506,Housekeeping,Database Tuning Utility,P,SE900310.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,507,Housekeeping,Purge Data,P,SR311900.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,509,Housekeeping,Delete Temporary Tables,P,SR721000.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,510,Housekeeping,Delete Backup File,P,SR329900.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,520,Housekeeping,POS-HO Synchronisation,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,530,Housekeeping,Data Import,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,550,Housekeeping,Data Export Masters,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
500,560,Housekeeping,Back-end Data,M,,0,0,0,0,,0,0,0,ZIP:SH9_0170_EE_9_02.S9Q
500,570,Housekeeping,Alerts Management,P,SR435600.exe,0,0,1,0+2,,0,0,0,ZIP:SH9_017_EE_4_20.S9Q|UPDATE:SH9_020_EE_0_02.S9Q|UPDATE:ZIP:SH9_020_EE_0_02.S9Q
500,571,Housekeeping,Communication Configuration,P,SR440600.exe,0,0,1,0+2,,0,0,0,ZIP:SH9_017_EE_4_20.S9Q
500,580,Housekeeping,Schedule for &Reports,P,SR435600.EXE,0,0,302,0+2,,0,0,0,ZIP:SH9_018_EE_0_01.S9Q
500,581,HouseKeeping,Activity Log,P,SR435600.EXE,0,1,1,0+2,,1,0,1,ZIP:SH9_019_EE_0_01.S9Q
520,521,POS-HO Synchronisation,Send Flat Files to HO,P,SR311400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
520,522,POS-HO Synchronisation,Synchronise Manually,P,SE301100.EXE,0,0,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
520,523,POS-HO Synchronisation,Configure Synchronisation,P,SE301600.exe,0,0,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
520,524,POS-HO Synchronisation,Status Report,P,SR235400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,531,Data Import,Item Master,P,SR320500.exe,0,0,1,0+1+2,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,532,Data Import,Price Revision,P,SR330700.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,533,Data Import,Customer Information,P,SR312300.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,534,Data Import,'Replication Import (AST,,,0,0,0,,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,535,Data Import,Active Sales Promotions,P,SR332800.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,536,Data Import,'Import into Secondary Db.(s,,,0,0,0,,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,537,Data Import,Import Items from Secondary to Primary Db.,P,SR325500.EXE,0,0,0,0+1,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
530,538,Data Import,Sales Promotions,P,SR430300.EXE,0,0,1,0,,0,0,0,ZIP:SH9_015_EE_0_01.S9Q|UPDATE:SH9_019_EE_9_02.S9Q|UPDATE:ZIP:SH9_019_EE_9_02.S9Q
550,551,Data Export Masters,Post Transactions to Tally,P,SR431500.EXE,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
550,552,Data Export Masters,Create PT File,P,SR327100.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
550,553,Data Export Masters,Pricing Details,P,SR322300.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
